Formation,Well_Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
B5 LM,CRAWFORD,3133.5,63.062,-0.147,4.895,22.325,3.782,2,0.621,3
B5 LM,CRAWFORD,3134,63.33,-0.206,5.245,22.895,3.737,2,0.603,3
B5 LM,CRAWFORD,3134.5,62.685,-0.218,5.035,22.725,3.584,2,0.586,3
B5 LM,CRAWFORD,3135,60.217,-0.23,4.57,21.84,3.444,2,0.569,3
B5 LM,CRAWFORD,3135.5,55.926,-0.217,5.185,20.385,3.352,2,0.552,3
B5 LM,CRAWFORD,3136,52.318,-0.185,5.795,18.665,3.496,2,0.534,3
B5 LM,CRAWFORD,3136.5,47.244,-0.16,5.445,15.725,3.855,2,0.517,3
B5 LM,CRAWFORD,3137,45.786,-0.138,4.165,11.765,3.966,2,0.5,3
B5 LM,CRAWFORD,3137.5,46.975,-0.116,5.55,10.25,3.765,2,0.483,3
B5 LM,CRAWFORD,3138,51.907,-0.103,7.385,11.675,3.44,2,0.466,3
B5 LM,CRAWFORD,3138.5,58.336,-0.093,6.61,13.74,3.162,2,0.448,3
B5 LM,CRAWFORD,3139,64.995,-0.09,5.94,16.68,3.024,2,0.431,3
B5 LM,CRAWFORD,3139.5,67.543,-0.089,5.7,17.72,3.057,2,0.414,3
B5 LM,CRAWFORD,3140,68.041,-0.104,5.755,18.395,3.171,2,0.397,3
B5 LM,CRAWFORD,3140.5,66.186,-0.144,5.995,19.265,3.231,2,0.379,3
B5 LM,CRAWFORD,3141,62.184,-0.187,6.54,20.72,3.264,2,0.362,3
B5 LM,CRAWFORD,3141.5,57.883,-0.239,6,21.62,3.297,2,0.345,3
B5 LM,CRAWFORD,3142,54.039,-0.297,5.725,22.245,3.282,2,0.328,3
B5 LM,CRAWFORD,3142.5,53.154,-0.371,5.745,23.065,3.222,2,0.31,3
B5 LM,CRAWFORD,3143,60.506,-0.432,5.78,23.96,3.115,2,0.293,3
B5 LM,CRAWFORD,3143.5,68.99,-0.456,6.14,25.32,2.977,2,0.276,3
B5 LM,CRAWFORD,3144,88.891,-0.468,7.025,27.595,2.916,2,0.259,3
B5 LM,CRAWFORD,3144.5,114.955,-0.455,6.925,28.395,2.924,2,0.241,3
B5 LM,CRAWFORD,3145,139.876,-0.405,6.245,28.025,3.215,2,0.224,3
B5 LM,CRAWFORD,3145.5,157.729,-0.353,4.685,26.015,3.373,2,0.207,3
B5 LM,CRAWFORD,3146,167.803,-0.219,4.27,23.37,3.81,2,0.19,3
B5 LM,CRAWFORD,3146.5,151.183,-0.057,0.925,17.125,4.153,2,0.172,3
B5 LM,CRAWFORD,3147,123.264,0.067,0.285,14.215,4.404,2,0.155,5
B5 LM,CRAWFORD,3147.5,108.569,0.234,0.705,12.225,4.499,2,0.138,5
B5 LM,CRAWFORD,3148,101.072,0.427,1.15,10.76,4.392,2,0.121,8
B5 LM,CRAWFORD,3148.5,91.748,0.625,1.135,9.605,4.254,2,0.103,6
B5 LM,CRAWFORD,3149,83.794,0.749,2.075,7.845,4.023,2,0.086,3
B5 LM,CRAWFORD,3149.5,83.794,0.749,2.075,7.845,4.023,2,0.086,3
B5 LM,CRAWFORD,3150,79.722,0.771,2.89,6.64,4.04,2,0.069,3
B5 LM,CRAWFORD,3150.5,76.334,0.8,2.96,6.29,3.997,2,0.052,3
B5 LM,CRAWFORD,3151,73.631,0.8,2.68,6.69,3.828,2,0.034,3
B5 LM,CRAWFORD,3151.5,76.865,0.772,2.42,8.6,3.535,2,0.017,6
C SH,CRAWFORD,3152,79.924,0.752,2.62,11.51,3.148,1,1,2
C SH,CRAWFORD,3152.5,82.199,0.728,3.725,14.555,2.964,1,0.972,2
C SH,CRAWFORD,3153,79.953,0.7,5.61,16.93,2.793,1,0.944,3
C SH,CRAWFORD,3153.5,75.881,0.673,6.3,17.57,2.969,1,0.917,3
C SH,CRAWFORD,3154,67.47,0.652,4.775,15.795,3.282,1,0.889,3
C SH,CRAWFORD,3154.5,58.832,0.64,4.315,13.575,3.642,1,0.861,3
C SH,CRAWFORD,3155,57.946,0.631,3.595,11.305,3.893,1,0.833,3
C SH,CRAWFORD,3155.5,65.755,0.625,3.465,10.355,3.911,1,0.806,2
C SH,CRAWFORD,3156,69.445,0.617,3.39,11.54,3.82,1,0.778,2
C SH,CRAWFORD,3156.5,73.389,0.608,3.625,12.775,3.62,1,0.75,2
C SH,CRAWFORD,3157,77.115,0.605,4.14,13.42,3.467,1,0.722,2
C SH,CRAWFORD,3157.5,79.84,0.596,4.875,13.825,3.36,1,0.694,3
C SH,CRAWFORD,3158,82.616,0.577,5.235,14.845,3.207,1,0.667,3
C SH,CRAWFORD,3158.5,86.078,0.554,5.04,16.15,3.161,1,0.639,3
C SH,CRAWFORD,3159,88.855,0.539,5.56,16.75,3.118,1,0.611,3
C SH,CRAWFORD,3159.5,90.49,0.53,6.36,16.78,3.168,1,0.583,3
C SH,CRAWFORD,3160,90.975,0.522,7.035,16.995,3.154,1,0.556,3
C SH,CRAWFORD,3160.5,90.108,0.513,7.505,17.595,3.125,1,0.528,3
