Formation,Wel_Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
B5 LM,KIMZEY A,3078,42.725,0.268,8.584,20.564,,2,0.638,7
B5 LM,KIMZEY A,3078.5,46.088,0.29,6.053,21.7745,,2,0.617,7
B5 LM,KIMZEY A,3079,49.065,0.279,6.768,22.242,,2,0.596,7
B5 LM,KIMZEY A,3079.5,53.726,0.219,9.463,21.7195,,2,0.574,7
B5 LM,KIMZEY A,3080,57.428,0.159,9.133,22.2145,,2,0.553,7
B5 LM,KIMZEY A,3080.5,63.474,0.229,10.509,21.4165,,2,0.532,6
B5 LM,KIMZEY A,3081,66.729,0.317,8.639,20.9765,,2,0.511,6
B5 LM,KIMZEY A,3081.5,67.942,0.391,6.932,20.784,,2,0.489,6
B5 LM,KIMZEY A,3082,68.815,0.437,4.402,18.143,,2,0.468,7
B5 LM,KIMZEY A,3082.5,68.722,0.459,5.117,17.4005,,2,0.447,7
B5 LM,KIMZEY A,3083,69.128,0.464,3.632,15.722,,2,0.426,7
B5 LM,KIMZEY A,3083.5,68.031,0.448,4.402,14.677,,2,0.404,7
B5 LM,KIMZEY A,3084,67.564,0.519,4.621,13.9615,,2,0.383,7
B5 LM,KIMZEY A,3084.5,67.538,0.573,5.337,13.0535,,2,0.362,7
B5 LM,KIMZEY A,3085,67.899,0.639,5.85,12.577,,2,0.34,7
B5 LM,KIMZEY A,3085.5,69.154,0.595,6.013,11.9615,,2,0.319,7
B5 LM,KIMZEY A,3086,79.88,0.75,7.373,10.4955,,2,0.298,5
B5 LM,KIMZEY A,3086.5,86.869,0.857,5.832,8.349,,2,0.277,5
B5 LM,KIMZEY A,3087,110.942,0.933,5.612,7.139,,2,0.255,5
B5 LM,KIMZEY A,3087.5,121.438,0.988,6.933,5.8185,,2,0.234,5
B5 LM,KIMZEY A,3088,136.644,0.982,7.235,5.8595,,2,0.213,5
B5 LM,KIMZEY A,3088.5,146.732,0.933,5.887,7.1665,,2,0.191,5
B5 LM,KIMZEY A,3089,140.154,0.748,12.6,8.597,,2,0.149,5
B5 LM,KIMZEY A,3089.5,125.603,0.824,12.214,9.835,,2,0.128,5
B5 LM,KIMZEY A,3090,99.08,0.868,10.674,10.055,,2,0.106,5
B5 LM,KIMZEY A,3090.5,84.029,0.906,7.923,9.5595,,2,0.085,5
B5 LM,KIMZEY A,3091,73.656,0.928,7.239,9.6265,,2,0.064,5
B5 LM,KIMZEY A,3091.5,70.578,0.838,7.315,10.3035,,2,0.043,6
B5 LM,KIMZEY A,3092,67.444,0.702,7.392,10.981,,2,0.021,6
C SH,KIMZEY A,3092.5,67.301,0.597,9.233,13.0315,,1,1,3
C SH,KIMZEY A,3093,67.494,0.535,9.574,15.887,,1,0.974,3
C SH,KIMZEY A,3093.5,66.264,0.481,11.334,18.913,,1,0.947,3
C SH,KIMZEY A,3094,64.66,0.503,13.108,18.026,,1,0.921,3
C SH,KIMZEY A,3094.5,64.211,0.584,16.506,16.217,,1,0.895,3
C SH,KIMZEY A,3095,63.453,0.595,14.911,16.0795,,1,0.868,3
C SH,KIMZEY A,3095.5,62.923,0.606,15.155,15.5175,,1,0.842,3
C SH,KIMZEY A,3096,62.614,0.677,14.196,15.282,,1,0.816,3
C SH,KIMZEY A,3096.5,62.594,0.732,15.406,14.402,,1,0.789,3
C SH,KIMZEY A,3097,62.785,0.791,17.277,13.9615,,1,0.763,3
C SH,KIMZEY A,3097.5,65.317,0.742,16.892,14.209,,1,0.711,3
C SH,KIMZEY A,3098,67.611,0.715,16.286,15.062,,1,0.684,3
C SH,KIMZEY A,3098.5,66.572,0.699,15.516,15.667,,1,0.658,3
C SH,KIMZEY A,3099,68.829,0.688,15.791,14.9795,,1,0.632,3
C SH,KIMZEY A,3099.5,70.217,0.688,17.221,14.9245,,1,0.605,3
C SH,KIMZEY A,3100,68.784,0.65,17.756,14.767,,1,0.579,2
C SH,KIMZEY A,3100.5,70.812,0.623,17.973,15.1535,,1,0.553,2
C SH,KIMZEY A,3101,70.526,0.612,18.492,15.83,,1,0.526,2
C SH,KIMZEY A,3101.5,64.98,0.612,18.13,16.066,,1,0.5,2
C SH,KIMZEY A,3102,67.636,0.672,16.726,16.107,,1,0.474,2
C SH,KIMZEY A,3102.5,64.374,0.764,14.251,15.1995,,1,0.447,2
C SH,KIMZEY A,3103,62.215,0.797,12.82,14.264,,1,0.421,2
C SH,KIMZEY A,3103.5,60.814,0.808,13.425,13.5215,,1,0.395,2
C SH,KIMZEY A,3104,60.884,0.742,14.361,12.3385,,1,0.368,3
C SH,KIMZEY A,3104.5,62.554,0.764,15.24,11.623,,1,0.342,3
C SH,KIMZEY A,3105,64.784,0.759,16.341,11.0725,,1,0.289,2
C SH,KIMZEY A,3105.5,67.764,0.745,13.645,12.2555,,1,0.263,2
C SH,KIMZEY A,3106,70.192,0.721,13.646,12.696,,1,0.237,2
C SH,KIMZEY A,3106.5,71.594,0.699,13.535,13.1365,,1,0.211,2
C SH,KIMZEY A,3107,70.705,0.672,13.425,13.4665,,1,0.184,2
C SH,KIMZEY A,3107.5,69.295,0.612,12.159,14.8695,,1,0.158,2
C SH,KIMZEY A,3108,67.784,0.589,12.841,15.3755,,1,0.132,2
C SH,KIMZEY A,3108.5,65.164,0.563,15.079,15.0605,,1,0.105,2
C SH,KIMZEY A,3109,62.957,0.53,16.795,14.9175,,1,0.079,3
C SH,KIMZEY A,3109.5,56.582,0.464,19.038,15.227,,1,0.053,3
C LM,KIMZEY A,3110.5,39.6,0.366,19.312,19.161,,2,1,5
C LM,KIMZEY A,3111,25.306,0.415,18.626,17.303,,2,0.988,5
C LM,KIMZEY A,3111.5,22.906,0.546,18.294,14.993,,2,0.976,5
C LM,KIMZEY A,3112,19.956,0.715,12.765,11.5405,,2,0.964,5
C LM,KIMZEY A,3112.5,16.938,0.982,12.655,8.5145,,2,0.952,5
C LM,KIMZEY A,3113,11.761,1.329,7.758,5.956,,2,0.94,5
C LM,KIMZEY A,3113.5,10.149,1.456,5.801,6.0225,,2,0.929,8
C LM,KIMZEY A,3114,11.587,1.336,5.557,6.5065,,2,0.917,8
C LM,KIMZEY A,3114.5,13.411,1.233,5.997,6.3415,,2,0.905,8
C LM,KIMZEY A,3115,16.222,1.162,6.218,6.011,,2,0.893,8
C LM,KIMZEY A,3115.5,16.939,1.08,5.392,4.553,,2,0.881,8
C LM,KIMZEY A,3116,18.085,1.069,5.282,3.398,,2,0.869,6
C LM,KIMZEY A,3116.5,19.651,1.178,4.786,3.315,,2,0.857,6
C LM,KIMZEY A,3117,21.289,1.206,4.786,3.535,,2,0.845,6
C LM,KIMZEY A,3117.5,23.054,1.146,5.392,3.508,,2,0.833,6
C LM,KIMZEY A,3118,24.473,1.282,5.888,3.37,,2,0.821,5
C LM,KIMZEY A,3118.5,28.116,1.282,7.208,3.315,,2,0.81,5
C LM,KIMZEY A,3119,31.275,1.129,8.363,3.6175,,2,0.798,5
C LM,KIMZEY A,3119.5,34.781,1.02,9.024,5.103,,2,0.786,6
C LM,KIMZEY A,3120,39.565,0.966,8.639,7.2765,,2,0.774,6
C LM,KIMZEY A,3120.5,40.913,0.95,7.912,7.133,,2,0.762,6
C LM,KIMZEY A,3121,41.211,0.95,7.593,6.4785,,2,0.75,8
C LM,KIMZEY A,3121.5,39.653,0.966,8.06,5.942,,2,0.738,5
C LM,KIMZEY A,3122,39.653,0.966,8.06,5.942,,2,0.738,5
C LM,KIMZEY A,3122.5,37.346,1.004,6.878,5.956,,2,0.726,6
C LM,KIMZEY A,3123,34.785,1.097,7.427,4.6905,,2,0.714,5
C LM,KIMZEY A,3123.5,35.079,1.191,7.428,3.48,,2,0.702,6
C LM,KIMZEY A,3124,37.081,1.269,5.612,2.847,,2,0.69,6
C LM,KIMZEY A,3124.5,35.89,1.347,4.432,3.977,,2,0.679,6
C LM,KIMZEY A,3125,33.215,1.347,3.742,4.663,,2,0.667,6
C LM,KIMZEY A,3125.5,33.307,1.287,4.787,3.8105,,2,0.655,6
C LM,KIMZEY A,3126,35.619,1.204,4.842,4.388,,2,0.643,6
C LM,KIMZEY A,3126.5,36.917,1.02,4.677,5.6255,,2,0.631,5
C LM,KIMZEY A,3127,33.366,1.026,5.255,6.3825,,2,0.619,6
C LM,KIMZEY A,3127.5,26.31,1.217,4.02,6.233,,2,0.607,6
C LM,KIMZEY A,3128,23.061,1.353,2.136,6.501,,2,0.595,6
C LM,KIMZEY A,3128.5,20.498,1.505,1.321,6.4785,,2,0.583,9
C LM,KIMZEY A,3129,19.037,1.451,2.056,7.122,,2,0.571,9
C LM,KIMZEY A,3129.5,19.16,1.162,2.586,7.607,,2,0.56,9
C LM,KIMZEY A,3130,20.461,1.031,2.503,8.6935,,2,0.548,9
C LM,KIMZEY A,3130.5,23.425,0.791,4.017,9.9725,,2,0.536,9
C LM,KIMZEY A,3131,31.562,0.759,5.805,9.5265,,2,0.524,9
C LM,KIMZEY A,3131.5,43.298,0.759,6.603,8.8445,,2,0.512,9
C LM,KIMZEY A,3132,60.579,0.77,7.675,8.3355,,2,0.5,6
C LM,KIMZEY A,3132.5,65.001,0.737,8.473,9.2295,,2,0.488,4
C LM,KIMZEY A,3133,65.014,0.677,9.904,12.311,,2,0.476,4
C LM,KIMZEY A,3133.5,61.49,0.688,10.134,12.141,,2,0.464,4
C LM,KIMZEY A,3134,63.557,0.721,11.019,12.1385,,2,0.452,4
C LM,KIMZEY A,3134.5,66.737,0.693,11.581,12.1595,,2,0.44,4
C LM,KIMZEY A,3135,69.863,0.683,10.454,12.916,,2,0.429,4
C LM,KIMZEY A,3135.5,79.245,0.677,10.619,12.9435,,2,0.417,4
C LM,KIMZEY A,3136,86.023,0.688,10.949,11.7335,,2,0.405,4
C LM,KIMZEY A,3136.5,101.037,0.732,10.179,12.0085,,2,0.393,6
C LM,KIMZEY A,3137,153.374,0.748,8.198,13.439,,2,0.381,6
C LM,KIMZEY A,3137.5,144.117,0.672,9.188,13.439,,2,0.369,6
C LM,KIMZEY A,3138,245.36,0.721,9.642,13.927,,2,0.357,4
