Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
C SH,ALEXANDER D,3048,93.96,0.592,12.6,13.6,,1,0.604,2
C SH,ALEXANDER D,3048.5,94.35,0.607,11.9,13.58,,1,0.585,2
C SH,ALEXANDER D,3049,93.85,0.607,11,13.95,,1,0.566,2
C SH,ALEXANDER D,3049.5,92.45,0.607,9.3,14.73,,1,0.547,2
C SH,ALEXANDER D,3050,91.43,0.613,10,14.335,,1,0.528,2
C SH,ALEXANDER D,3050.5,90.38,0.603,10.8,13.985,,1,0.509,2
C SH,ALEXANDER D,3051,91.31,0.592,11.9,14.05,,1,0.491,2
C SH,ALEXANDER D,3051.5,94.47,0.582,12.7,14.2,,1,0.472,2
C SH,ALEXANDER D,3052,95.67,0.575,13.6,14.39,,1,0.453,2
C SH,ALEXANDER D,3052.5,95.66,0.584,13.7,14.61,,1,0.434,2
C SH,ALEXANDER D,3053,94.72,0.593,13.2,14.95,,1,0.415,2
C SH,ALEXANDER D,3053.5,93.76,0.588,11.4,14.8,,1,0.396,2
C SH,ALEXANDER D,3054,91.57,0.581,10.6,14.75,,1,0.377,2
C SH,ALEXANDER D,3054.5,88.82,0.581,11.3,13.885,,1,0.358,2
C SH,ALEXANDER D,3055,88.2,0.575,11.2,13.455,,1,0.34,2
C SH,ALEXANDER D,3055.5,89.12,0.568,11.1,13.295,,1,0.321,2
C SH,ALEXANDER D,3056,89.11,0.562,11.4,13.205,,1,0.302,2
C SH,ALEXANDER D,3056.5,89.68,0.559,11.8,14.08,,1,0.283,2
C SH,ALEXANDER D,3057,95.2,0.553,9.3,15.595,,1,0.264,2
C SH,ALEXANDER D,3057.5,100.38,0.533,7,16.775,,1,0.245,2
C SH,ALEXANDER D,3058,100.69,0.502,5.6,17.655,,1,0.226,2
C SH,ALEXANDER D,3058.5,101.17,0.48,9.3,17.035,,1,0.208,2
C SH,ALEXANDER D,3059,105.79,0.45,13.6,17.85,,1,0.189,2
C SH,ALEXANDER D,3059.5,110.42,0.431,14.7,18.84,,1,0.17,3
C SH,ALEXANDER D,3060,115.02,0.408,15.2,19.66,,1,0.151,3
C SH,ALEXANDER D,3060.5,118.87,0.394,12.1,20.855,,1,0.132,3
C SH,ALEXANDER D,3061,120.98,0.389,8,20.965,,1,0.113,3
C SH,ALEXANDER D,3061.5,120.17,0.382,8.7,19.085,,1,0.075,3
C SH,ALEXANDER D,3062,118.88,0.384,10.7,19.515,,1,0.057,3
C SH,ALEXANDER D,3062.5,117.37,0.407,9.4,20.135,,1,0.038,3
C SH,ALEXANDER D,3063,112.94,0.438,7.4,21.47,,1,0.019,3
C LM,ALEXANDER D,3063.5,104.72,0.468,5.8,22.55,,2,1,5
C LM,ALEXANDER D,3064,93.17,0.498,5.1,23.07,,2,0.991,8
C LM,ALEXANDER D,3064.5,82.73,0.559,5.6,19.8,,2,0.983,8
C LM,ALEXANDER D,3065,71.43,0.687,1.3,10.76,,2,0.974,8
C LM,ALEXANDER D,3065.5,52.48,0.923,0.9,6.66,,2,0.966,8
C LM,ALEXANDER D,3066,29.52,0.898,0.6,6.32,,2,0.957,8
C LM,ALEXANDER D,3066.5,20.23,0.857,0.6,6.24,,2,0.948,8
C LM,ALEXANDER D,3067,19.76,0.801,0.6,6.4,,2,0.94,6
C LM,ALEXANDER D,3067.5,20.21,0.76,0.8,6.82,,2,0.931,6
C LM,ALEXANDER D,3068,21.11,0.721,0.6,8.14,,2,0.922,6
C LM,ALEXANDER D,3068.5,28.3,0.78,0.2,9.295,,2,0.914,6
C LM,ALEXANDER D,3069,33.2,0.86,2.1,8.725,,2,0.905,5
C LM,ALEXANDER D,3069.5,34.58,0.844,3.6,7.585,,2,0.897,8
C LM,ALEXANDER D,3070,35.04,0.827,3.5,6.925,,2,0.888,8
C LM,ALEXANDER D,3070.5,31.78,0.809,3.7,6.7,,2,0.879,8
C LM,ALEXANDER D,3071,25.36,0.78,3.8,6.585,,2,0.871,6
C LM,ALEXANDER D,3071.5,24.34,0.724,6,7.545,,2,0.862,6
C LM,ALEXANDER D,3072,24.38,0.644,8,9.3,,2,0.853,7
C LM,ALEXANDER D,3072.5,25.72,0.601,6.7,10.78,,2,0.845,7
C LM,ALEXANDER D,3073,31.28,0.594,6.9,10.86,,2,0.836,7
C LM,ALEXANDER D,3073.5,33.13,0.607,6.8,10.785,,2,0.828,7
C LM,ALEXANDER D,3074,33.13,0.627,5.4,10.165,,2,0.819,7
C LM,ALEXANDER D,3074.5,33.28,0.658,3.3,9.935,,2,0.81,7
C LM,ALEXANDER D,3075,35.32,0.697,1.6,9.495,,2,0.802,7
C LM,ALEXANDER D,3075.5,39.73,0.732,2,8.185,,2,0.793,7
C LM,ALEXANDER D,3076,44.71,0.78,3.7,7.35,,2,0.784,6
C LM,ALEXANDER D,3076.5,47.02,0.859,4.9,7.025,,2,0.776,6
C LM,ALEXANDER D,3077,47.48,0.895,6.4,7.11,,2,0.767,6
C LM,ALEXANDER D,3077.5,47.67,0.914,6.6,6.95,,2,0.759,6
C LM,ALEXANDER D,3078,48.06,0.92,6.5,7.035,,2,0.75,6
C LM,ALEXANDER D,3078.5,48.06,0.92,6.5,7.035,,2,0.75,6
C LM,ALEXANDER D,3079,50.2,0.92,6.4,7.17,,2,0.741,6
C LM,ALEXANDER D,3079.5,54.42,0.92,6.2,7.405,,2,0.733,6
C LM,ALEXANDER D,3080,55.8,0.919,5.5,7.825,,2,0.724,5
C LM,ALEXANDER D,3080.5,53.94,0.919,4.5,8.11,,2,0.716,5
C LM,ALEXANDER D,3081,51.81,0.919,3.3,8.435,,2,0.707,5
C LM,ALEXANDER D,3081.5,49.4,0.913,3,8.51,,2,0.698,5
C LM,ALEXANDER D,3082,47.78,0.913,3.3,8.385,,2,0.69,5
C LM,ALEXANDER D,3082.5,46.95,0.906,4.6,8.06,,2,0.681,5
C LM,ALEXANDER D,3083,47.4,0.906,5.2,8.07,,2,0.672,5
C LM,ALEXANDER D,3083.5,48.32,0.9,5.4,8.265,,2,0.664,5
C LM,ALEXANDER D,3084,49.07,0.897,4.3,9,,2,0.655,5
C LM,ALEXANDER D,3084.5,50.13,0.897,2.5,9.66,,2,0.647,5
C LM,ALEXANDER D,3085,51.38,0.902,3.5,9.08,,2,0.638,6
C LM,ALEXANDER D,3085.5,52.62,0.913,4.7,8.5,,2,0.629,6
C LM,ALEXANDER D,3086,54.33,0.925,5,8.235,,2,0.621,6
C LM,ALEXANDER D,3086.5,56.18,0.937,4.8,8.01,,2,0.612,6
C LM,ALEXANDER D,3087,57.56,0.942,4.2,8.02,,2,0.603,6
C LM,ALEXANDER D,3087.5,59.25,0.942,3.6,8.03,,2,0.595,6
C LM,ALEXANDER D,3088,61.36,0.942,3.5,8.105,,2,0.586,6
C LM,ALEXANDER D,3088.5,63.92,0.936,5.3,7.895,,2,0.578,6
C LM,ALEXANDER D,3089,67.46,0.932,7,7.805,,2,0.569,6
C LM,ALEXANDER D,3089.5,72.85,0.907,8.5,7.94,,2,0.56,6
C LM,ALEXANDER D,3090,84.46,0.879,10.1,8.63,,2,0.552,6
C LM,ALEXANDER D,3090.5,98.11,0.843,10.7,9.26,,2,0.543,6
C LM,ALEXANDER D,3091,115.09,0.816,10.7,9.59,,2,0.534,5
C LM,ALEXANDER D,3091.5,128.3,0.792,10.1,9.835,,2,0.526,5
C LM,ALEXANDER D,3092,128.3,0.792,10.1,9.835,,2,0.526,4
C LM,ALEXANDER D,3092.5,141.19,0.781,7,10.78,,2,0.517,4
C LM,ALEXANDER D,3093,168.43,0.781,2.2,12.9,,2,0.509,4
C LM,ALEXANDER D,3093.5,159.61,0.781,1.3,13.73,,2,0.5,4
C LM,ALEXANDER D,3094,146.35,0.78,2.4,13.675,,2,0.491,4
C LM,ALEXANDER D,3094.5,137.77,0.78,3.2,13.37,,2,0.483,4
C LM,ALEXANDER D,3095,110.36,0.78,3.9,13.145,,2,0.474,4
C LM,ALEXANDER D,3095.5,93.18,0.78,4.7,13,,2,0.466,4
C LM,ALEXANDER D,3096,78.74,0.778,5.3,12.895,,2,0.457,4
C LM,ALEXANDER D,3096.5,71.43,0.766,5.2,12.635,,2,0.448,4
C LM,ALEXANDER D,3097,69.7,0.754,4.4,12.68,,2,0.44,4
C LM,ALEXANDER D,3097.5,69.01,0.736,4.2,13.25,,2,0.431,4
C LM,ALEXANDER D,3098,68.54,0.719,4.8,13.905,,2,0.422,4
C LM,ALEXANDER D,3098.5,68.53,0.7,6,14.32,,2,0.414,4
C LM,ALEXANDER D,3099,69,0.694,6.6,14.4,,2,0.405,4
C LM,ALEXANDER D,3099.5,69.27,0.687,6.8,14.28,,2,0.397,4
C LM,ALEXANDER D,3100,69.91,0.68,6.7,14.21,,2,0.388,4
C LM,ALEXANDER D,3100.5,70.99,0.678,6.7,14.48,,2,0.379,4
C LM,ALEXANDER D,3101,71.95,0.674,7,15.205,,2,0.371,4
C LM,ALEXANDER D,3101.5,73.74,0.672,7.1,15.8,,2,0.362,4
C LM,ALEXANDER D,3102,77.33,0.668,6.9,15.985,,2,0.353,4
C LM,ALEXANDER D,3102.5,82.89,0.667,7.1,15.925,,2,0.345,4
C LM,ALEXANDER D,3103,91.25,0.667,7.3,15.86,,2,0.336,4
C LM,ALEXANDER D,3103.5,96.66,0.663,7.9,16.08,,2,0.328,4
C LM,ALEXANDER D,3104,99.78,0.668,8.5,16.695,,2,0.319,4
C LM,ALEXANDER D,3104.5,100.52,0.698,10,16.165,,2,0.31,4
C LM,ALEXANDER D,3105,100.52,0.697,10.3,16.085,,2,0.302,4
C LM,ALEXANDER D,3105.5,99.28,0.697,8.1,15.16,,2,0.293,4
C LM,ALEXANDER D,3106,96.61,0.697,5.5,14.04,,2,0.284,4
C LM,ALEXANDER D,3106.5,87.87,0.696,3.2,13.055,,2,0.276,4
C LM,ALEXANDER D,3107,74.49,0.702,2.2,12.83,,2,0.267,6
C LM,ALEXANDER D,3107.5,66.13,0.703,3.6,11.6,,2,0.259,6
C LM,ALEXANDER D,3108,67.05,0.72,7.9,11.32,,2,0.25,6
C LM,ALEXANDER D,3108.5,75.94,0.687,12.6,12.935,,2,0.241,6
C LM,ALEXANDER D,3109,90.7,0.625,15.2,14.45,,2,0.233,4
C LM,ALEXANDER D,3109.5,101.41,0.55,16.8,15.515,,1,0.224,2
C LM,ALEXANDER D,3110,105.12,0.489,18.2,16.625,,1,0.216,2
C LM,ALEXANDER D,3110.5,107.1,0.43,17.7,17.06,,1,0.207,2
C LM,ALEXANDER D,3111,103.88,0.393,14.7,18.785,,1,0.198,2
C LM,ALEXANDER D,3111.5,97.63,0.356,11.6,18.98,,1,0.19,2
C LM,ALEXANDER D,3112,30.78,0.283,1.3,17.555,,2,0.164,8
C LM,ALEXANDER D,3112.5,24.65,0.262,0.8,17.925,,2,0.155,8
C LM,ALEXANDER D,3113,23.36,0.243,3.9,16.51,,2,0.147,8
C LM,ALEXANDER D,3113.5,27.77,0.23,6.6,15.915,,2,0.138,8
C LM,ALEXANDER D,3114,32.19,0.238,6.8,15.845,,2,0.129,8
C LM,ALEXANDER D,3114.5,36.6,0.243,6.7,15.605,,2,0.121,8
C LM,ALEXANDER D,3115,41.01,0.253,4.5,15.51,,2,0.112,8
C LM,ALEXANDER D,3115.5,45.42,0.265,0.9,14.905,,2,0.103,8
C LM,ALEXANDER D,3116,49.83,0.288,-1.7,13.62,,2,0.095,8
C LM,ALEXANDER D,3116.5,54.24,0.318,-2.7,12.285,,2,0.086,8
C LM,ALEXANDER D,3117,58.65,0.408,-4.2,10.255,,2,0.078,8
C LM,ALEXANDER D,3117.5,63.07,0.66,-3.6,9.37,,2,0.069,8
C LM,ALEXANDER D,3118,66.12,0.79,-2.9,8.73,,2,0.06,8
C LM,ALEXANDER D,3118.5,67.66,0.878,-2.2,8.325,,2,0.052,8
C LM,ALEXANDER D,3119,68.34,0.91,-1.8,8.065,,2,0.043,8
C LM,ALEXANDER D,3119.5,67.87,0.926,1.8,8.175,,2,0.034,8
C LM,ALEXANDER D,3120,66,0.928,6.3,8.54,,2,0.026,8
C LM,ALEXANDER D,3120.5,67.39,0.898,9.6,9.755,,2,0.017,8
C LM,ALEXANDER D,3121,76.58,0.85,12.1,10.815,,2,0.009,8
A1 SH,KIMZEY A,2918.5,73.816,0.769,5.226,11.348,,1,1,1
A1 SH,KIMZEY A,2919,75.118,0.627,8.198,13.164,,1,0.978,1
A1 SH,KIMZEY A,2919.5,72.434,0.535,10.867,15.0755,,1,0.956,1
A1 SH,KIMZEY A,2920,66.161,0.568,4.566,16.905,,1,0.933,2
A1 SH,KIMZEY A,2920.5,63.104,0.65,2.083,15.8835,,1,0.911,2
A1 SH,KIMZEY A,2921,61.708,0.732,4.292,12.036,,1,0.889,1
A1 SH,KIMZEY A,2921.5,60.478,0.688,4.236,10.908,,1,0.867,2
A1 SH,KIMZEY A,2922,58.876,0.683,2.449,12.1045,,1,0.844,1
A1 SH,KIMZEY A,2922.5,56.785,0.753,2.311,12.9165,,1,0.822,1
A1 SH,KIMZEY A,2923,54.551,0.759,0.748,13.147,,1,0.8,1
A1 SH,KIMZEY A,2923.5,55.816,0.802,0.101,14.3515,,1,0.778,1
A1 SH,KIMZEY A,2924,59.263,0.759,0.936,16.575,,1,0.756,3
A1 SH,KIMZEY A,2924.5,62.969,0.421,1.513,17.7715,,1,0.733,3
A1 SH,KIMZEY A,2925,65.403,0.33,5.722,23.48,,1,0.711,1
A1 SH,KIMZEY A,2925.5,67.745,0.285,6.988,25.213,,1,0.689,3
A1 SH,KIMZEY A,2926,68.45,0.35,5.392,27.221,,1,0.667,3
A1 SH,KIMZEY A,2926.5,68.727,0.475,5.888,30.11,,1,0.644,3
A1 SH,KIMZEY A,2927,66.604,0.677,11.995,16.2725,,1,0.622,2
A1 SH,KIMZEY A,2927.5,63.92,0.721,7.923,12.4755,,1,0.6,2
A1 SH,KIMZEY A,2928,58.267,0.737,7.923,10.7705,,1,0.578,2
A1 SH,KIMZEY A,2928.5,56.916,0.677,6.987,9.7525,,1,0.556,2
A1 SH,KIMZEY A,2929,56.618,0.65,6.492,9.395,,1,0.533,2
A1 SH,KIMZEY A,2929.5,60.636,0.639,6.602,10.055,,1,0.511,2
A1 SH,KIMZEY A,2930,61.96,0.606,6.602,10.495,,1,0.489,3
A1 SH,KIMZEY A,2930.5,64.962,0.59,6.328,11.293,,1,0.467,3
A1 SH,KIMZEY A,2931,67.517,0.563,7.098,12.118,,1,0.444,3
A1 SH,KIMZEY A,2931.5,68.959,0.552,8.308,12.118,,1,0.422,3
A1 SH,KIMZEY A,2932,66.302,0.552,8.473,11.7055,,1,0.4,3
A1 SH,KIMZEY A,2932.5,61.404,0.59,8.033,10.9355,,1,0.378,3
A1 SH,KIMZEY A,2933,56.906,0.623,6.217,10.4675,,1,0.356,2
A1 SH,KIMZEY A,2933.5,55.656,0.655,5.612,11.045,,1,0.333,2
A1 SH,KIMZEY A,2934,55.94,0.639,6.218,11.678,,1,0.311,2
A1 SH,KIMZEY A,2934.5,58.334,0.617,8.143,13.0815,,1,0.289,2
A1 SH,KIMZEY A,2935,59.547,0.59,9.793,14.0715,,1,0.267,2
A1 SH,KIMZEY A,2935.5,62.762,0.601,9.958,14.154,,1,0.244,2
A1 SH,KIMZEY A,2936,65.695,0.633,9.408,13.549,,1,0.222,2
A1 SH,KIMZEY A,2936.5,70.578,0.633,10.399,11.5135,,1,0.2,2
A1 SH,KIMZEY A,2937,73.069,0.601,10.206,11.499,,1,0.178,2
A1 SH,KIMZEY A,2937.5,74.041,0.623,10.894,12.091,,1,0.156,3
A1 SH,KIMZEY A,2938,74.037,0.732,11.389,12.6135,,1,0.133,3
A1 SH,KIMZEY A,2938.5,72.422,0.737,12.27,13.329,,1,0.111,3
A1 SH,KIMZEY A,2939,71.318,0.532,12.819,15.3095,,1,0.089,3
A1 SH,KIMZEY A,2939.5,68.421,0.432,12.6,16.41,,1,0.067,3
A1 SH,KIMZEY A,2940,66.15,0.443,15.571,18.9405,,1,0.044,3
A1 SH,KIMZEY A,2940.5,60.517,0.525,14.47,20.096,,1,0.022,3
A1 LM,KIMZEY A,2941,57.391,0.653,9.262,18.024,,1,1,6
A1 LM,KIMZEY A,2941.5,47.916,0.819,15.681,13.4935,,2,0.988,8
A1 LM,KIMZEY A,2942,38.771,0.966,11.664,12.311,,2,0.976,8
A1 LM,KIMZEY A,2942.5,34.811,1.184,5.178,7.796,,2,0.964,8
A1 LM,KIMZEY A,2943,34.846,1.364,3.576,6.176,,2,0.952,8
A1 LM,KIMZEY A,2943.5,39.206,1.402,1.981,6.5885,,2,0.94,8
A1 LM,KIMZEY A,2944,42.445,1.429,2.421,6.0935,,2,0.929,8
A1 LM,KIMZEY A,2944.5,44.914,1.445,3.425,5.5915,,2,0.917,8
A1 LM,KIMZEY A,2945,41.339,1.462,4.787,5.2405,,2,0.905,8
A1 LM,KIMZEY A,2945.5,36.036,1.435,6.052,5.048,,2,0.893,8
A1 LM,KIMZEY A,2946,34.817,1.326,7.702,4.663,,2,0.881,6
A1 LM,KIMZEY A,2946.5,36.339,1.054,8.914,5.103,,2,0.869,6
A1 LM,KIMZEY A,2947,41.035,0.857,10.619,6.6165,,2,0.857,6
A1 LM,KIMZEY A,2947.5,44.711,0.791,11.499,7.5515,,2,0.845,6
A1 LM,KIMZEY A,2948,49.27,0.742,12.105,8.7895,,2,0.833,5
A1 LM,KIMZEY A,2948.5,50.791,0.721,14.415,8.7895,,2,0.821,5
A1 LM,KIMZEY A,2949,54.86,0.715,13.093,9.8355,,2,0.81,5
A1 LM,KIMZEY A,2949.5,59.829,0.721,12.104,10.55,,2,0.798,5
A1 LM,KIMZEY A,2950,62.092,0.764,11.884,10.66,,2,0.786,5
A1 LM,KIMZEY A,2950.5,65.692,0.906,11.664,10.66,,2,0.774,5
A1 LM,KIMZEY A,2951,74.874,1.042,9.188,9.312,,2,0.762,6
A1 LM,KIMZEY A,2951.5,80.549,1.108,9.354,7.139,,2,0.75,6
A1 LM,KIMZEY A,2952,86.97,1.282,7.703,5.4605,,2,0.738,6
A1 LM,KIMZEY A,2952.5,95.071,1.234,6.045,5.9875,,2,0.726,6
A1 LM,KIMZEY A,2953,116.632,1.129,7.978,8.597,,2,0.714,5
A1 LM,KIMZEY A,2953.5,133.545,0.988,8.908,9.948,,2,0.702,5
A1 LM,KIMZEY A,2954,126.67,0.879,10.686,10.269,,2,0.69,5
A1 LM,KIMZEY A,2954.5,116.684,0.911,12.789,10.5935,,2,0.679,5
A1 LM,KIMZEY A,2955,81.969,0.993,12.654,10.33,,2,0.667,8
A1 LM,KIMZEY A,2955.5,60.123,1.124,9.299,10.5775,,2,0.655,8
A1 LM,KIMZEY A,2956,43.495,1.173,5.605,10.3335,,2,0.643,8
A1 LM,KIMZEY A,2956.5,31.575,1.184,1.541,10.6055,,2,0.631,8
A1 LM,KIMZEY A,2957,27.186,1.118,0.66,10.55,,2,0.619,8
A1 LM,KIMZEY A,2957.5,25.622,1.037,-0.55,9.945,,2,0.607,8
A1 LM,KIMZEY A,2958,25.513,1.02,-0.66,9.285,,2,0.595,8
A1 LM,KIMZEY A,2958.5,28.526,1.189,-0.716,8.542,,2,0.583,8
A1 LM,KIMZEY A,2959,31.004,1.244,-0.495,7.8265,,2,0.571,6
A1 LM,KIMZEY A,2959.5,33.895,1.358,1.678,7.098,,2,0.56,6
A1 LM,KIMZEY A,2960,36.256,1.369,3.686,6.616,,2,0.548,6
A1 LM,KIMZEY A,2960.5,39.527,1.168,5.821,7.0235,,2,0.536,6
A1 LM,KIMZEY A,2961,44.079,1.079,6.492,7.414,,2,0.524,6
A1 LM,KIMZEY A,2961.5,47.828,0.979,7.043,9.1745,,2,0.512,4
A1 LM,KIMZEY A,2962,50.19,0.849,7.125,10.6465,,2,0.5,4
A1 LM,KIMZEY A,2962.5,53.066,0.748,7.923,11.5955,,2,0.488,4
A1 LM,KIMZEY A,2963,55.379,0.726,10.014,13.136,,2,0.476,4
A1 LM,KIMZEY A,2963.5,56.364,0.721,10.564,13.356,,2,0.464,4
A1 LM,KIMZEY A,2964,57.217,0.721,11.775,13.5215,,2,0.452,4
A1 LM,KIMZEY A,2964.5,58.159,0.737,11.5,14.154,,2,0.44,4
A1 LM,KIMZEY A,2965,59.694,0.753,10.674,14.732,,2,0.429,4
A1 LM,KIMZEY A,2965.5,60.91,0.802,11.829,13.2185,,2,0.417,4
A1 LM,KIMZEY A,2966,62.221,0.773,13.068,12.93,,2,0.405,4
A1 LM,KIMZEY A,2966.5,63.505,0.736,12.545,13.1365,,2,0.393,4
A1 LM,KIMZEY A,2967,63.869,0.708,11.774,13.081,,2,0.381,4
A1 LM,KIMZEY A,2967.5,64.143,0.677,11.983,12.2065,,2,0.369,4
A1 LM,KIMZEY A,2968,62.938,0.655,11.593,11.2465,,2,0.357,4
A1 LM,KIMZEY A,2968.5,61.374,0.737,10.454,11.541,,2,0.345,4
A1 LM,KIMZEY A,2969,57.433,0.862,8.389,11.9675,,2,0.333,4
A1 LM,KIMZEY A,2969.5,56.131,0.819,7.042,12.476,,2,0.321,4
A1 LM,KIMZEY A,2970,52.54,0.796,9.133,11.1555,,2,0.31,4
A1 LM,KIMZEY A,2970.5,51.223,0.89,9.684,10.55,,2,0.298,4
A1 LM,KIMZEY A,2971,50.608,0.873,9.959,9.5875,,2,0.286,4
A1 LM,KIMZEY A,2971.5,50.08,0.906,8.309,9.9175,,2,0.274,4
A1 LM,KIMZEY A,2972,49.589,0.939,6.767,10.2475,,2,0.262,4
A1 LM,KIMZEY A,2972.5,48.466,0.955,6.193,10.7305,,2,0.25,4
A1 LM,KIMZEY A,2973,47.694,0.96,7.483,10.2755,,2,0.238,4
A1 LM,KIMZEY A,2973.5,48.353,0.966,7.317,10.0825,,2,0.226,4
A1 LM,KIMZEY A,2974,49.337,0.83,4.731,11.0455,,2,0.214,4
A1 LM,KIMZEY A,2974.5,55.521,0.797,6.185,12.3225,,2,0.202,4
A1 LM,KIMZEY A,2975,58.802,0.759,8.859,12.5035,,2,0.19,4
A1 LM,KIMZEY A,2975.5,62.155,0.715,11.98,13.143,,2,0.179,4
A1 LM,KIMZEY A,2976,62.962,0.71,12.81,12.107,,2,0.167,4
A1 LM,KIMZEY A,2976.5,61.659,0.824,12.711,11.2385,,2,0.155,4
A1 LM,KIMZEY A,2977,60.723,0.917,12.544,10.275,,2,0.143,4
A1 LM,KIMZEY A,2977.5,63.254,0.988,10.014,9.725,,2,0.131,4
A1 LM,KIMZEY A,2978,67.182,1.026,10.234,8.294,,2,0.119,4
A1 LM,KIMZEY A,2978.5,70.126,1.086,8.528,7.827,,2,0.107,5
A1 LM,KIMZEY A,2979,72.706,1.178,6.822,7.194,,2,0.095,5
A1 LM,KIMZEY A,2979.5,70.559,1.222,6.245,5.9145,,2,0.083,6
A1 LM,KIMZEY A,2980,70.829,1.249,3.686,5.846,,2,0.071,6
A1 LM,KIMZEY A,2980.5,74.178,1.249,3.411,5.7635,,2,0.06,8
A1 LM,KIMZEY A,2981,75.855,1.249,3.73,6.253,,2,0.048,8
A1 LM,KIMZEY A,2981.5,74.898,1.227,2.434,7.916,,2,0.036,8
A1 LM,KIMZEY A,2982,75.331,1.178,3.659,8.5285,,2,0.024,8
A1 LM,KIMZEY A,2982.5,76.272,0.988,5.062,8.459,,2,0.012,8
B1 SH,KIMZEY A,2983,82.485,0.79,7.788,10.978,,1,1,3
B1 SH,KIMZEY A,2983.5,83.761,0.732,11.664,14.787,,1,0.96,3
B1 SH,KIMZEY A,2984,82.284,0.557,14.572,18.395,,1,0.92,3
B1 SH,KIMZEY A,2984.5,79.657,0.557,13.15,21.582,,1,0.88,3
B1 SH,KIMZEY A,2985,77.044,0.606,13.932,21.356,,1,0.84,3
B1 SH,KIMZEY A,2985.5,71.624,0.677,12.646,20.172,,1,0.8,3
B1 SH,KIMZEY A,2986,68.35,0.635,10.998,18.806,,1,0.76,3
B1 SH,KIMZEY A,2986.5,61.636,0.595,7.648,16.575,,1,0.72,3
B1 SH,KIMZEY A,2987,60.02,0.666,11.341,15.0105,,1,0.68,2
B1 SH,KIMZEY A,2987.5,57.334,0.74,15.736,13.301,,1,0.64,2
B1 SH,KIMZEY A,2988,51.604,0.82,8.804,15.172,,1,0.6,2
B1 SH,KIMZEY A,2988.5,47.143,0.888,7.212,12.611,,1,0.56,2
B1 SH,KIMZEY A,2989,44.586,0.966,4.979,9.4085,,1,0.52,2
B1 SH,KIMZEY A,2989.5,45.435,0.96,3.301,9.1195,,1,0.48,2
B1 SH,KIMZEY A,2990,44.447,0.911,3.906,8.267,,1,0.44,2
B1 SH,KIMZEY A,2990.5,44.343,0.884,5.595,7.4505,,1,0.4,2
B1 SH,KIMZEY A,2991,46.069,0.868,7.647,7.3315,,1,0.36,2
B1 SH,KIMZEY A,2991.5,48.61,0.868,6.273,8.8995,,1,0.32,2
B1 SH,KIMZEY A,2992,49.756,0.911,8.467,9.0675,,1,0.28,2
B1 SH,KIMZEY A,2992.5,49.709,0.862,9.998,8.962,,1,0.24,2
B1 SH,KIMZEY A,2993,49.673,0.795,11.664,9.505,,1,0.2,2
B1 SH,KIMZEY A,2993.5,49.554,0.704,11.38,11.298,,1,0.16,2
B1 SH,KIMZEY A,2994,46.149,0.748,10.328,12.154,,1,0.12,2
B1 SH,KIMZEY A,2994.5,43.622,0.793,8.143,12.2555,,1,0.08,2
B1 SH,KIMZEY A,2995,36.663,0.873,7.538,10.743,,1,0.04,2
B1 LM,KIMZEY A,2995.5,30.458,0.944,8.254,9.89,,2,1,5
B1 LM,KIMZEY A,2996,23.578,0.988,9.243,8.6795,,2,0.973,8
B1 LM,KIMZEY A,2996.5,15.887,1.031,6.786,8.533,,2,0.946,8
B1 LM,KIMZEY A,2997,13.839,1.075,3.081,8.0195,,2,0.919,8
B1 LM,KIMZEY A,2997.5,13.488,1.124,1.761,7.9645,,2,0.892,8
B1 LM,KIMZEY A,2998,14.872,1.353,0.715,7.8265,,2,0.865,8
B1 LM,KIMZEY A,2998.5,15.609,1.429,-0.22,8.184,,2,0.838,8
B1 LM,KIMZEY A,2999,16.399,1.293,-0.78,8.959,,2,0.811,8
B1 LM,KIMZEY A,2999.5,16.823,1.019,0.623,10.8235,,2,0.784,8
B1 LM,KIMZEY A,3000,17.222,0.672,0.44,12.696,,2,0.757,8
B1 LM,KIMZEY A,3000.5,18.517,0.672,0.357,13.3425,,2,0.73,8
B1 LM,KIMZEY A,3001,19.516,0.737,3.796,11.953,,2,0.703,8
B1 LM,KIMZEY A,3001.5,20.442,0.926,2.035,10.0275,,2,0.676,8
B1 LM,KIMZEY A,3002,24.152,1.064,0.908,8.253,,2,0.649,8
B1 LM,KIMZEY A,3002.5,26.727,1.037,2.586,6.671,,2,0.622,8
B1 LM,KIMZEY A,3003,30.452,0.982,4.457,5.5155,,2,0.595,5
B1 LM,KIMZEY A,3003.5,31.861,0.971,4.841,5.8185,,2,0.568,5
B1 LM,KIMZEY A,3004,31.738,1.138,4.401,6.3135,,2,0.541,5
B1 LM,KIMZEY A,3004.5,29.468,1.245,3.329,6.2995,,2,0.514,6
B1 LM,KIMZEY A,3005,27.071,1.331,2.036,6.066,,2,0.486,6
B1 LM,KIMZEY A,3005.5,26.809,1.385,0.881,6.2585,,2,0.459,6
B1 LM,KIMZEY A,3006,27.558,1.304,0.881,6.2585,,2,0.432,6
B1 LM,KIMZEY A,3006.5,28.052,1.304,3.246,6.011,,2,0.405,6
B1 LM,KIMZEY A,3007,26.961,1.375,3.357,6.2585,,2,0.378,6
B1 LM,KIMZEY A,3007.5,25.043,1.32,4.347,7.0015,,2,0.351,6
